Cdigo;Descrio;Material;Malha;Fio;Largura;Unidade;Forma Fsica;Fracionvel;Classe ABC;Sub-classe ABC;Estoque;Estoque Valorizado;Em Trnsito (total);Em Produo (total);Cotado;PO Comprado;Em Produo (PO);Aguardando;Inserido em Invoice;Inserido em Container;Embarcado;Em Transbordo;Atracado Brasil;Liberado;Consumo Mdio/dia (Ano Atual);Consumo Mdio/dia (Ano Anterior);Consumo Mdio/dia (24m);Dias de Cobertura;Crtico;Preo Mdio;Dt_Ult_Movto
47226;Filtro Circular p/ Maq e Peneiracao M60 f0,16mm - I - Diam.69mm;INOX DISCOS;60;0,16;;PC;Disco;Sim;C;C2;1900; 201,78 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0077;0,0038;9999;No;0;31/10/2025
47961;Filtro Circular p/ Maq e Peneiracao M60 f0,16mm - I - Diam.85mm;INOX DISCOS;60;0,16;;PC;Disco;Sim;;;3700; 545,75 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
39930;Filtro Circular p/ Maq e Peneiracao M60 f0,16mm Diam.207mm;INOX DISCOS;60;0,16;;PC;Disco;Sim;;;5332; 171.566,16 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
39895;Filtro Circular p/ Maq e Peneiracao M60 f0,18mm Diam.152mm;INOX DISCOS;60;0,18;;PC;Disco;Sim;C;C1;603; 341,06 ;0;0;0;0;0;0;0;0;0;0;0;0;0,5311;0,2153;0,2152;2802;No;0;07/04/2026
39944;Filtro Circular p/ Maq e Peneiracao M60 f0,18mm Diam.240mm;INOX DISCOS;60;0,18;;PC;Disco;Sim;;;12480; 401.565,22 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
42724;Filtro Circular p/ Maq e Peneiracao M80 f0,12mm - D+ - Diam.276mm;INOX DISCOS;80;0,12;;PC;Disco;Sim;;;10800; 11.919,96 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
46703;Filtro Circular p/ Maq e Peneiracao M80 f0,12mm - I - Diam.170mm;INOX DISCOS;80;0,12;;PC;Disco;Sim;;;2900; 3.880,20 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
46838;Filtro Circular p/ Maq e Peneiracao M80 f0,12mm - I - Diam.203mm;INOX DISCOS;80;0,12;;PC;Disco;Sim;;;7000; 4.302,20 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
47240;Filtro Circular p/ Maq e Peneiracao M80 f0,12mm - I - Diam.236mm;INOX DISCOS;80;0,12;;PC;Disco;Sim;;;1200; 1.082,04 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
47236;Filtro Circular p/ Maq e Peneiracao M80 f0,12mm - I - Diam.350mm;INOX DISCOS;80;0,12;;PC;Disco;Sim;;;4500; 7.842,15 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
45795;Filtro Circular p/ Maq e Peneiracao M80 f0,12mm Diam. 256mm;INOX DISCOS;80;0,12;;PC;Disco;Sim;C;C1;1200; 1.097,40 ;0;0;0;0;0;0;0;0;0;0;0;0;0,1757;0,0534;0,0623;9999;No;0;22/04/2026
49945;Filtro Nevoa Tela Tricotada Inox 304;INOX 304;;;;PC;Tricotada;No;B;B1;6; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0,0135;0,0219;0,0274;219;No;0;27/01/2026
51620;Filtro Nevoa Tela Tricotada Inox 316L;INOX 316;;;;PC;Filtro Nvoa;No;C;C1;0; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0,0135;0,0411;0,0233;0;No;0;03/03/2026
40020015;FIO DE COBRE NU 0,200MM ELETROLITICO;;;;;KG;Arame;No;;;189; 19.508,49 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
DINOX30412779/A3;INOX 304 M16 F0,40mm;INOX 304;16;0,4;;PC;Filtro Nvoa;No;;;1; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
DINOX30412780/A3;Inox 304 M16 F0,40mm;INOX 304;16;0,4;;PC;Filtro Nvoa;No;;;1; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
Brinde;Kit calendario + Fichario;;;;;UN;Utensilios;No;C;C3;0; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0014;0;No;0;04/12/2024
004.00.00.0006;LIXEIRA BASCULANTE PRETO 14 LITROS;;;;;UN;Utensilios;No;C;C2;0; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0438;0,0219;0;No;0;06/05/2025
51826;Nylon M50 f0,20mm 1,20m;NYLON;50;0,2;1,20;M;Rolo;Sim;;;60; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNALM14F0,251,00M;Peneira Aluminio M14 F. 0,25mm 1,00m;ALUMNIO;14;0,25;1,00;PC;Rolo;No;;;150; 328,56 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNALM14F0,251,20M;Peneira Aluminio M14 F. 0,25mm 1,20m;ALUMNIO;14;0,25;1,20;PC;Rolo;No;;;120; 305,23 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNALM14F0,361,00M;Peneira Aluminio M14 F. 0,36mm 1,00m;ALUMNIO;14;0,36;1,00;PC;Rolo;No;;;180; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNALM14F0,361,20M;Peneira Aluminio M14 F. 0,36mm 1,20m;ALUMNIO;14;0,36;1,20;PC;Rolo;No;C;C1;150; -   ;0;0;0;0;0;0;0;0;0;0;0;0;1,6216;0;0,3285;456;No;0;13/04/2026
PNALM14F0,361,50M;Peneira Aluminio M14 F. 0,36mm 1,50m;ALUMNIO;14;0,36;1,50;PC;Rolo;No;;;60; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM10BWG201M;Peneira Galv. M10 BWG 20 1,00 m;GALVANIZADO;10;20;1,00;PC;Rolo;No;;;30; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM10BWG201.2M;Peneira Galv. M10 BWG 20 1,20 m;GALVANIZADO;10;20;1,20;PC;Rolo;No;;;30; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM10BWG221M;Peneira Galv. M10 BWG 22 1,00 m;GALVANIZADO;10;22;1,00;PC;Rolo;No;;;90; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM10BWG241M;Peneira Galv. M10 BWG 24 1,00 m;GALVANIZADO;10;24;1,00;PC;Rolo;No;;;30; 608,18 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM10BWG281.12M;Peneira Galv. M10 BWG 28 1,12 m;GALVANIZADO;10;28;1,12;PC;Rolo;No;;;800; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM10BWG281.2M;Peneira Galv. M10 BWG 28 1,20 m;GALVANIZADO;10;28;1,20;PC;Rolo;No;;;90; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM12BWG221,00M;Peneira Galv. M12 BWG 22 1,00m;GALVANIZADO;12;22;1,00;PC;Rolo;No;;;57; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM12BWG221,04M;Peneira Galv. M12 BWG 22 1,04m;GALVANIZADO;12;22;1,04;PC;Rolo;No;;;30; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM12BWG221.2M;Peneira Galv. M12 BWG 22 1,20 m;GALVANIZADO;12;22;1,20;PC;Rolo;No;;;30; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM12BWG241.2M;Peneira Galv. M12 BWG 24 1,20 m;GALVANIZADO;12;24;1,20;PC;Rolo;No;;;30; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM12BWG261M;Peneira Galv. M12 BWG 26 1,00 m;GALVANIZADO;12;26;1,00;PC;Rolo;No;;;6; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM12BWG261.2M;Peneira Galv. M12 BWG 26 1,20 m;GALVANIZADO;12;26;1,20;PC;Rolo;No;;;80; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM14BWG261.2M;Peneira Galv. M14 BWG 26 1,20 m;GALVANIZADO;14;26;1,20;PC;Rolo;No;;;4; 72,14 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM14BWG301.2M;Peneira Galv. M14 BWG 30 1,20 m;GALVANIZADO;14;30;1,20;PC;Rolo;No;;;12; 203,98 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM14BWG311M;Peneira Galv. M14 BWG 31 1,00 m;GALVANIZADO;14;31;1,00;PC;Rolo;No;;;780; 8.674,15 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM14BWG311.2M;Peneira Galv. M14 BWG 31 1,20 m;GALVANIZADO;14;31;1,20;PC;Rolo;No;;;210; 1.350,66 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM14BWG311.50M;Peneira Galv. M14 BWG 31 1,50 m;GALVANIZADO;14;31;1,50;PC;Rolo;No;;;60; 520,22 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM16BWG241,00M;Peneira Galv. M16 BWG 24 1,00m;GALVANIZADO;16;24;1,00;PC;Rolo;No;;;1; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM16BWG301M;Peneira Galv. M16 BWG 30 1,00 m;GALVANIZADO;16;30;1,00;PC;Rolo;No;;;6; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM16BWG321,02M;Peneira Galv. M16 BWG 32 1,02 m;GALVANIZADO;16;32;1,02;PC;Rolo;No;;;60; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM16BWG321.2M;Peneira Galv. M16 BWG 32 1,20 m;GALVANIZADO;16;32;1,20;PC;Rolo;No;;;210; 4.087,73 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM18BWG261M;Peneira Galv. M18 BWG 26 1,00 m;GALVANIZADO;18;26;1,00;PC;Rolo;No;;;80; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM18BWG281M;Peneira Galv. M18 BWG 28 1,00 m;GALVANIZADO;18;28;1,00;PC;Rolo;No;;;60; 306,40 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM2BWG161M;Peneira Galv. M2 BWG 16 1,00 m;GALVANIZADO;2;16;1,00;PC;Rolo;No;;;6; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM2,5BWG161M;Peneira Galv. M2,5 BWG 16 1,00 m;GALVANIZADO;2.5;16;1,00;PC;Rolo;No;;;30; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM2,5BWG181M;Peneira Galv. M2,5 BWG 18 1,00 m;GALVANIZADO;2.5;18;1,00;PC;Rolo;No;;;10; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM20BWG281M;Peneira Galv. M20 BWG 28 1,00 m;GALVANIZADO;20;28;1,00;PC;Rolo;No;;;20; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM20BWG301M;Peneira Galv. M20 BWG 30 1,00 m;GALVANIZADO;20;30;1,00;PC;Rolo;No;;;6; 18,93 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM20BWG321M;Peneira Galv. M20 BWG 32 1,00 m;GALVANIZADO;20;32;1,00;PC;Rolo;No;;;30; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM20BWG321.2M;Peneira Galv. M20 BWG 32 1,20 m;GALVANIZADO;20;32;1,20;PC;Rolo;No;;;60; 115,15 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM26BWG321M;Peneira Galv. M26 BWG 32 1,00 m;GALVANIZADO;26;32;1,00;PC;Rolo;No;;;16; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM30BWG301M;Peneira Galv. M30 BWG 30 1,00 m;GALVANIZADO;30;30;1,00;PC;Rolo;No;;;116; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM35BWG321M;Peneira Galv. M35 BWG 32 1,00 m;GALVANIZADO;35;32;1,00;PC;Rolo;No;;;6; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM4BWG181M;Peneira Galv. M4 BWG 18 1,00 m;GALVANIZADO;4;18;1,00;PC;Rolo;No;;;10; 194,31 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM4BWG181.2M;Peneira Galv. M4 BWG 18 1,20 m;GALVANIZADO;4;18;1,20;PC;Rolo;No;;;36; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM4BWG191M;Peneira Galv. M4 BWG 19 1,00 m;GALVANIZADO;4;19;1,00;PC;Rolo;No;;;120; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM4BWG201M;Peneira Galv. M4 BWG 20 1,00 m;GALVANIZADO;4;20;1,00;PC;Rolo;No;;;10; 190,60 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM4BWG221M;Peneira Galv. M4 BWG 22 1,00 m;GALVANIZADO;4;22;1,00;PC;Rolo;No;;;120; 2,57 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM4BWG231M;Peneira Galv. M4 BWG 23 1,00 m;GALVANIZADO;4;23;1,00;PC;Rolo;No;;;40; 275,41 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM40BWG321M;Peneira Galv. M40 BWG 32 1,00 m;GALVANIZADO;40;32;1,00;PC;Rolo;No;;;10; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM5BWG191,20M;Peneira Galv. M5 BWG 19 1,20 m;GALVANIZADO;5;19;1,20;PC;Rolo;No;;;90; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM5BWG201M;Peneira Galv. M5 BWG 20 1,00 m;GALVANIZADO;5;20;1,00;PC;Rolo;No;;;6; 39,80 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM5BWG221M;Peneira Galv. M5 BWG 22 1,00 m;GALVANIZADO;5;22;1,00;PC;Rolo;No;;;63; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM6BWG181M;Peneira Galv. M6 BWG 18 1,00 m;GALVANIZADO;6;18;1,00;PC;Rolo;No;;;54; 961,85 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM6BWG201M;Peneira Galv. M6 BWG 20 1,00 m;GALVANIZADO;6;20;1,00;PC;Rolo;No;;;66; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM6BWG231M;Peneira Galv. M6 BWG 23 1,00 m;GALVANIZADO;6;23;1,00;PC;Rolo;No;;;121; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM6BWG251M;Peneira Galv. M6 BWG 25 1,00 m;GALVANIZADO;6;25;1,00;PC;Rolo;No;;;390; 4.142,23 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM6BWG251.2M;Peneira Galv. M6 BWG 25 1,20 m;GALVANIZADO;6;25;1,20;PC;Rolo;No;;;120; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM8BWG221M;Peneira Galv. M8 BWG 22 1,00 m;GALVANIZADO;8;22;1,00;PC;Rolo;No;;;36; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
PNGVM8BWG251M;Peneira Galv. M8 BWG 25 1,00 m;GALVANIZADO;8;25;1,00;PC;Rolo;No;;;210; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
0043291-LB;Tela Tricotada Lisa LB Inox AISI 304L F0,25- 500mm;INOX 304;;0,25;;PC;Tricotada;Sim;;;175; -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;0;
